"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Jameson, Drey","R","90.7","90.3",,"92.8",,"55.7","21.2",,
"Bellatti, Andrew","R","90.6",,,"97.7",,,"28.8",,
"Feyereisen, J.P.","R","90.6",,,"86.6",,,"36.7",,
"Gibaut, Ian","R","90.5",,"54.4","95",,,"45.8","49.5",
"Knebel, Corey","R","90.5",,,,,"89.9","66.2",,
"Sánchez, Aníbal","R","90.5","87","73.6","94.2",,"39","42",,
"Martin, Chris","R","90.5","85.9","47.7",,"87.5","66.4",,"49.2",
"Garrett, Reed","R","90.4","90","29.6",,"85.6",,,,
"Davis, Austin","L","90.4","92.5",,"97.9",,,,"49.1",
"Rodríguez, Joely","L","90.4","88",,"97",,,"39.8",,
"Martin, Corbin","R","90.4",,,"75.4",,"37.2","44.3",,
"Arano, Víctor","R","90.4","93.7",,,,,"12.7",,
"Stephan, Trevor","R","90.4",,,,"91.9",,"34",,
"Manning, Matt","R","90.4","90.7",,"95",,"78","41.1","39.5",
"Tepera, Ryan","R","90.3","95.5",,"85.1",,,"31.2","50.3",
"Hendricks, Kyle","R","90.2","82.3",,"83.4",,"83.5",,,
"Loáisiga, Jonathan","R","90.2","89.3",,"95.8",,"36.9",,,
"Stout, Eric","L","90.1",,,"96.7",,"84.4",,"59.8",
"Peralta, Freddy","R","90.1",,,"96.2",,"54.6","31.5",,
"Lorenzen, Michael","R","90.1","87.8","44","98",,"72.4","20.7","29.9",
"Effross, Scott","R","90","94.4",,"90.3",,,,"31.7",
"Law, Derek","R","89.9","85.4","42.9","96.7",,"63.2","29.3",,
"Woodruff, Brandon","R","89.9","92.3",,"92.3",,"48","25.2",,
"Sanmartin, Reiver","L","89.9","90.6",,"89.2",,,"23.9",,
"Green, Chad","R","89.9",,,,,,,"36.7",
"Cruz, Fernando","R","89.9",,"33.5",,"40.2",,,,
"Vieaux, Cam","L","89.9",,,"84.9",,,"61.7",,
"Assad, Javier","R","89.8","89.5","50.5","93.7",,"74.1","41.5","43.8",
"Knight, Dusten","R","89.8",,"51.7","76.9",,"66.5",,,
"Frías, Luis","R","89.8",,,"79.2",,,"48.7",,
"Lynch IV, Daniel","L","89.7","87.2",,"99.1",,"38.9","15.3",,
"Garcia, Luis","R","89.7","93","36","99.2",,"62.6",,"49.2",
"Minter, A.J.","L","89.7",,"28.8","91.8",,,,,
"Martinez, Nick","R","89.7","90.5","38.6","88.4",,"78.6",,,
"Minaya, Juan","R","89.6",,,"83.6",,,"24.5",,
"Eflin, Zach","R","89.6","86.2","59","95.9",,"67.6","38.1",,
"Megill, Tylor","R","89.5",,"25.9","96.6",,"67.6","32.6",,
"Castillo, Diego","R","89.5","85.5",,,,,"19.5",,
"Rucker, Michael","R","89.5",,"23.7","90.1",,"75.6","28.1",,
"Iglesias, Raisel","R","89.5","92.4",,"88.9",,,"28.2",,
"Patiño, Luis","R","89.5","86.5",,"95.8",,,"42.1",,
"Morejon, Adrian","L","89.5",,,"97.9",,"73.4","33.9",,
"Taillon, Jameson","R","89.4","90","58.2","99",,"65.5","32.3",,
"Lamet, Dinelson","R","89.4",,,,,,"19",,
"Brash, Matt","R","89.4",,,,,"68.1","50.8",,
"Griffin, Foster","L","89.3",,"49.2","93.3",,"82.9",,,
"Lyles, Jordan","R","89.3","83.1","30.9","97.7",,"83.3",,"51.5",
"Jiménez, Dany","R","89.3",,,,,,"21.3",,
"Voth, Austin","R","89.3",,"49","73.3",,"78.1",,"37.3",
"Neris, Héctor","R","89.3","90.3",,,"76.1",,"36.1",,
"Smith, Drew","R","89.2",,,"99.6",,"73.1","40",,
"Wheeler, Zack","R","89.2","92.3","40.4","96.4",,"62.7",,,
"Hentges, Sam","L","89.2","84.6",,,,"82.4","19.7",,
"Graterol, Brusdar","R","89.2","91","51.4",,,,"31.4",,
"Bazardo, Eduard","R","89.2","87.6",,,"68.5",,"58.6",,
"Nardi, Andrew","L","89.1",,,"96.2",,,"29.4",,
"Rogers, Trevor","L","89.1",,,"94.2",,,"24",,
"Baker, Bryan","R","89.1",,,"87.3",,,"43.4",,
"Kinley, Tyler","R","89.1",,,,,,"32.2",,
"Chapman, Aroldis","L","89","88.1",,,"27.5",,"40.9",,
"Gilbreath, Lucas","L","89",,,,,,"35.1",,
"Middleton, Keynan","R","89",,,"78.3",,,"18.3",,
"Montas, Frankie","R","88.9","86.4","34",,"84.7",,"32",,
"Martin, Davis","R","88.9",,,"93.5",,"71.5","35.4",,
"Merryweather, Julian","R","88.9",,,"97.4",,"84.8","17.2",,
"Danish, Tyler","R","88.9","91.2",,"98.5",,,,"40.6",
"Floro, Dylan","R","88.8","90.8",,"95.4",,,"21.8",,
"Pineda, Michael","R","88.7",,,"96",,,"9.6",,
"Yajure, Miguel","R","88.7","95.7","60.9","90.3",,"80.7","31",,
"Gott, Trevor","R","88.7","88.4","60.8",,,"81.8",,,
"Corbin, Patrick","L","88.7","85.5",,"98.2",,,"18.5",,
"De Jong, Chase","R","88.6",,,"98.8",,"76.4","27.8",,
"Sousa, Bennett","L","88.6",,,,,,"25.8",,
"Mantiply, Joe","L","88.5","92.1",,"98.8",,"36.2",,,
"Romero, JoJo","L","88.5","86.5",,"99.2",,,"31.4",,
"Sandoval, Patrick","L","88.4","88.2",,"98.9",,"63.4","33.5",,
"Silseth, Chase","R","88.4","87.8",,,"78.7","80.4","50.9",,
"Mills, Wyatt","R","88.4","75.3",,,,,"36.1",,
"Montero, Rafael","R","88.3","85",,"93",,,"26.9",,
"Henry, Tommy","L","88.3",,,"93.6",,"63.7","26.6",,
"Kolarek, Adam","L","88.3","93.1",,"98.9",,,"36.6",,
"Gage, Matt","L","88.3",,,,,,"31.8","27.4",
"Nance, Tommy","R","88.2","78.6",,,,"66.6","24.2",,
"Elías, Roenis","L","88.2",,,"93.8",,"69.2",,,
"Sheffield, Justus","L","87.9","79.1",,"76",,,"45.3",,
"Watkins, Spenser","R","87.9","85.8","49.9","89.2",,"70.2",,"58.5",
"Peterson, David","L","87.8","90.9",,"98.9",,"67.4","19.2",,
"Fairbanks, Pete","R","87.5",,,,,,"43.2",,
"Lawrence, Casey","R","87.4","91.1",,"97.3",,"42.5","30.4",,
"Blackburn, Paul","R","87.3","85.2","42.3","80.3",,"89.6","77.4",,
"Ramírez, Erasmo","R","87.3","85.2","52.9","90.2",,"41.5",,,
"Garrett, Braxton","L","87.2","80.7",,"94",,"71.9","31.3",,
"Young, Alex","L","87.2","83.3",,"83.7",,"18",,,
"Bumgarner, Madison","L","87.1","87.5","49.3","96.1",,"61.7",,,
"Darvish, Yu","R","87.1","90.7","52.9",,"53.7","80.6","28.3","48.9",
"Newcomb, Sean","L","87",,"27.5",,,"94.1",,,
"Pagán, Emilio","R","87",,"26.9",,"94.8","74.6","26.4",,
"Kirby, George","R","87","84.2","35.5","99.4",,"85.3","47.6",,
"Martin, Brett","L","86.9","87.4",,,,"53.8","34.2",,
"Marte, José","R","86.9","83.3","36.7",,,,,,
"López, Yoan","R","86.8",,,"90.4",,,"43.2",,
"Peters, Dillon","L","86.8","87.4",,"98.4",,"72.4","27.5",,
"Bard, Luke","R","86.8",,"45.6","98.9",,"65","26",,
"Castillo, Luis","R","86.7","89.5",,"90.2",,,"13.5",,
"Germán, Domingo","R","86.7","86.2",,"87.1",,"26.3",,,
"Kershaw, Clayton","L","86.6",,,"99.1",,"83.7","43.2",,
"Brentz, Jake","L","86.6",,,,,,"24.5",,
"Pérez, Cionel","L","86.6","82.3",,,,"81.8",,,"45.9"
"Hall, DL","L","86.5",,,"91.2",,"66.1",,"37.7",
"Bello, Brayan","R","86.5","87.6",,"98.5",,,"31.2",,
"Murphy, Patrick","R","86.4","79.3",,,,"81.1",,,
"Mikolas, Miles","R","86.4","81.8",,"95.9",,"83","31.2",,
"Boyd, Matthew","L","86.3","85.6",,"83.4",,,"31.3",,
"Hunter, Tommy","R","86.3","83.2","62.1",,,"46.9",,,
"Hand, Brad","L","86.2","88",,,,,,"67.6",
"Strzelecki, Peter","R","86.2",,,"98.9",,,,"55.1",
"Garza Jr., Ralph","R","86.1","82.1","72.9","97.5",,"45.5","43.1",,
"Dugger, Robert","R","86","82.9",,"98.1",,"69.4","47.1",,
"Velasquez, Vince","R","86","79.9",,"91.7",,"65","32.6",,
"Weiss, Zack","R","85.9",,"45.9",,,,"32.7",,
"Stephens, Jackson","R","85.9","86.8",,"64.3",,"79.4","29.7",,
"Miley, Wade","L","85.8","88.6","48.3","87.3",,"64.9","23.2",,
"Underwood Jr., Duane","R","85.8","85.4","53.3","93.4",,"68.7",,,
"Farrell, Luke","R","85.8",,,,,"66.9","17.9",,
"Sánchez, Miguel","R","85.8",,,"87.8",,,"17.9",,
"Helsley, Ryan","R","85.7",,,,,"68.6","29.8",,
"García, Rony","R","85.7","84.6",,"92.5",,"47.2",,,
"Mills, Alec","R","85.6","84.1",,"85.4",,"82.7","63.6",,
"Thompson, Keegan","R","85.5","81.5","46.5","94.5",,"74",,"42.6",
"Morton, Charlie","R","85.4","88.8","23.3","99.2",,"76.5",,,
"Gibson, Kyle","R","85.4","83","57.5","83.6",,"57.1","29.8","33.5",
"Widener, Taylor","R","85.4",,,"94.8",,,"29.2",,
"Herget, Jimmy","R","85.4","85.1",,"74.7",,"61.4","18.5",,
"Norris, Daniel","L","85.4","85.4",,"77.7",,"82.6",,"38.2",
"Head, Louis","R","85.4",,,"84.7",,,"55.4",,
"Junk, Janson","R","85.3",,,,,"86.1","34.7","39.8",
"Cessa, Luis","R","85.2","84.3",,"82.1",,,"41.3",,
"Lee, Evan","L","85.2",,,"84.7",,"60.4",,,
"Diplán, Marcos","R","85",,,"83.9",,"50.3","33.3",,
"Quijada, José","L","85",,,"99",,,"56.8",,
"Lange, Alex","R","85","84.3",,"93.3",,"38.6",,,
"Bielak, Brandon","R","84.9","80.9",,"91.5",,"82.6",,"41.8",
"Brice, Austin","R","84.8","90.3",,,,"52.9",,,
"Tinoco, Jesus","R","84.7","84.7",,,,"26.2","20.5",,
"Barria, Jaime","R","84.7","85.6",,"98.6",,,"32.7",,
"Barnes, Jacob","R","84.6",,"40.9",,,,"32.1",,
"Matzek, Tyler","L","84.6",,,,,,"51.6",,
"Crismatt, Nabil","R","84.6","84",,"77.6",,"97.2",,,
"Carrasco, Carlos","R","84.6","83.2",,"77.5",,"51","18.1",,
"Abreu, Bryan","R","84.5",,,,,"65.1","47.1",,
"Keller, Mitch","R","84.5","82.3",,"96.2",,"92.5","32","61",
"Knehr, Reiss","R","84.4",,"43.9","99.5",,"49.6","56.7",,
"Woodford, Jake","R","84.3","81.7",,"99",,"95.5",,"42.1",
"Hutchison, Drew","R","84.1","82.3",,"85.4",,,"25",,
"Tully, Tanner","L","84.1",,,"86.9",,,"34.1",,
"Leone, Dominic","R","84",,"43.9",,,,"38.5",,
"Glasnow, Tyler","R","83.9",,,,,"70.6","19.1",,
"Ferguson, Caleb","L","83.9",,,,,"82.8",,,
"White, Mitch","R","83.8","85.2",,"76.8",,"78.8",,"27.7",
"Nelson, Kyle","L","83.7",,,,,,"38.7",,
"Familia, Jeurys","R","83.7","81.5",,,"89.1",,"34.9",,
"Suárez, Ranger","L","83.7","82.2","54.8","92.9",,"73.8","30",,
"Quintana, Jose","L","83.6","85.6",,"92.9",,"60.8",,,"59.2"
"Moronta, Reyes","R","83.6",,,"91",,,"54.8",,
"Thornton, Trent","R","83.5","82.1",,,,"66.5",,"46.5",
"King, Michael","R","83.4","79.2",,"98.3",,,,"61.7",
"Wright, Kyle","R","83.2","82.2",,"94.2",,"60.5","45.1",,
"Syndergaard, Noah","R","83.2","81.5","34.4","96.8",,"61","35.3",,
"Rasmussen, Drew","R","83","86.3","29.6",,,"79","33.1","46.3",
"Morris, Cody","R","82.9",,"39.4","91.1",,"91.3",,,
"Montgomery, Jordan","L","82.9","88.9","49.5","95.5",,"50.4",,,
"Phillips, Evan","R","82.6","85.6","54.3",,,,,"49.4",
"Manoah, Alek","R","82.5","82.3",,"80.4",,,"44.2",,
"Gallen, Zac","R","82",,"46.2","79.3",,"71.1","42.9",,
"Payamps, Joel","R","82","81.4",,"82.9",,,"50.2",,
"Romo, Sergio","R","81.9","87.8",,"99.3",,,"42.2",,
"Poteet, Cody","R","81.8","76.7",,"84.4",,"59","29.3",,
"Senzatela, Antonio","R","81.7","84.6",,"66.7",,"57.8","39.4",,
"Rodriguez, Eduardo","L","81.6","81.7","57.7","90",,,"33.4",,
"Winckowski, Josh","R","81.5","83.6","39.7","85.6",,,"41.1",,
"Cishek, Steve","R","81.3","85.4",,,,,"82.9",,
"Warren, Art","R","81.3",,,,,,"37.8",,
"Bickford, Phil","R","81.2",,,,,,"47.3",,
"Banks, Tanner","L","81.2",,,"69.5",,"33.1","36.2",,
"Bard, Daniel","R","81.1","82.1",,"97.3",,,"36.6",,
"Coleman, Dylan","R","80.7",,,,,,"49.1","62.2",
"Armstrong, Shawn","R","80.7","85.4","46.8",,,,,,"44.5"
"Barraclough, Kyle","R","80.7",,,,,,"68.6",,
"Megill, Trevor","R","80.7",,,,,"83.1","39.3",,
"Rodríguez, Manuel","R","80.5","86.2",,,,,"38.8",,
"Martinez, Seth","R","80.3","80","39","83.4",,,,"50.1",
"Kelly, Merrill","R","80.3","80.5","63.4","86",,"67.2",,,
"Pressly, Ryan","R","80.2",,,"70.6",,"76","27",,
"Civale, Aaron","R","80.2","79","40.5",,"79","87.8","50","64",
"Sandlin, Nick","R","80.1","78.2",,,"85.4",,"53.4",,
"Sands, Cole","R","80.1",,"20.8","97.3","83.7","75.9",,,
"Gustave, Jandel","R","80.1","79.4",,,,,"41.8",,
"Bassitt, Chris","R","80","85","46.8","96",,"94.1","38.9","74.2",
"Ramírez, Yohan","R","79.9","85.4",,,,,,"46.3",
"Feltner, Ryan","R","79.8","76.5",,"61.1",,"73.3","35.1","40.7",
"Kilian, Caleb","R","79.8","81.1","40.1",,,"90.3",,,
"Crowe, Wil","R","79.6","77",,"56.4",,"82.6","37.3",,
"Bleier, Richard","L","79.4","82","42.2","97.6",,,"61.6",,
"García, Yimi","R","79.4","84.7",,"97.6",,"49.8","39.3",,
"Greinke, Zack","R","79.2","78.4","46.9","86.1",,"77.5","45.9",,
"Sewald, Paul","R","79.1",,,,,,,"41.2",
"Fulmer, Michael","R","79.1","80.9","46.9","90.1",,"91.6",,,
"Thompson, Ryan","R","79.1","85.2",,,,,"67.9",,
"Ramirez, Noé","R","78.9",,,"73.1",,"61.3",,,
"Hendrix, Ryan","R","78.9","82.6",,"95.3",,,"30.5",,
"Lakins Sr., Travis","R","78.9",,"47.6","81.5",,"82.5","62",,
"Weissert, Greg","R","78.9","86.3",,"98",,,,"68.4",
"VerHagen, Drew","R","78.8","78.5","57.1","67.7",,"94.5",,"72.8",
"Ortega, Oliver","R","78.8","77.1",,,,"69.7",,"69.8",
"Duffey, Tyler","R","78.7","81.9",,"81.2",,"66","53.3",,
"Pruitt, Austin","R","78.7",,,"88.9",,"63.3","31.6",,
"Uelmen, Erich","R","78.6","83.4",,"83.6",,,"46.3",,
"Castro, Kervin","R","78.5",,"46.6",,,"78.5",,,
"Strickland, Hunter","R","78.5","76.6",,"82.4",,,"45.9",,
"Bradish, Kyle","R","78.4","84",,"98.9",,"75.1","34.7",,
"Wantz, Andrew","R","78.3",,"31.9","66.6",,,,"54.8",
"Leclerc, José","R","78.2",,"31","83.9",,,"40.4",,
"Webb, Logan","R","78.1","76.2",,"73.7",,,,"45.5",
"Zimmermann, Bruce","L","77.7","84.6",,"96.3",,"53.1","14.8",,
"Gray, Sonny","R","77.2","71",,"92",,"88.8","47.1","63.9",
"Kuhnel, Joel","R","77.1","83.6",,"87.7",,,"24.4",,
"Minor, Mike","L","76.9",,,"98.7",,"72.3","26.5",,
"Chacín, Jhoulys","R","76.9","75.9",,"81.5",,"59.2","39.6",,
"Otto, Glenn","R","76.8","72.8",,"98.3",,"64.5",,"55.2",
"Adam, Jason","R","76.7",,,"82.2",,,,"51.1",
"Ottavino, Adam","R","76.7","81","31","85.3",,,,"65.3",
"Mushinski, Parker","L","76.7",,"42.5",,,"90.2",,"61.6",
"Coulombe, Danny","L","76.6",,,"98.8",,"90.6","20","29.4",
"Ohtani, Shohei","R","76.4","80.2","30.9",,"65.2","80.9","47.1","49.7",
"Bolaños, Ronald","R","76.4","76.4",,"91.1",,"69.5","40.5",,
"Wendelken, J.B.","R","76.2","82.4",,"99.4",,,"39.4",,
"Wesneski, Hayden","R","76.2","83.8","36.6","88.3",,,,"59.3",
"Elder, Bryce","R","76","75.3",,"67.9",,,"29.7",,
"Wainwright, Adam","R","75.8","83.3","46.2","91",,"96.8",,,
"Urías, Julio","L","75.5",,,"88.8",,,,,"50.8"
"Freeland, Kyle","L","75.4","71.9","24.2","93.1",,"59.7",,,
"Toussaint, Touki","R","75","71.8",,,"82.5","87.7",,,
"Koenig, Jared","L","75","76.8",,"93.4",,"76.4","28.4",,
"Castano, Daniel","L","74.9","64.1","27.3","86.3",,,"31",,
"Domínguez, Seranthony","R","74.9","80.2",,"97.6",,,"33.3",,
"Rogers, Tyler","R","74.7","78.2",,,,,"74.7",,
"Scott, Tanner","L","74.6",,,,,,"23.7",,
"Williams, Trevor","R","74.4","78.1",,"88",,"50.4","37.3",,
"Houck, Tanner","R","74.2","79.7",,,"76.4",,"49.9",,
"Fried, Max","L","74.1","70.4",,"88.3",,"87.3","20.6",,
"Taylor, Blake","L","73.9",,,,,,"40.3",,
"Medina, Adonis","R","73.6","75.6",,"87.5",,"53.5","29.5",,
"Flaherty, Jack","R","73.2","70.3","48.6",,,"86.3","54.8",,
"Díaz, Alexis","R","73",,,,,,"34.4",,
"Kluber, Corey","R","72.7","79.7","36.5","74.7",,"53.9",,,
"McCullers Jr., Lance","R","72.6","74.4","26.7","93.6",,"75.9","47.7",,
"Crick, Kyle","R","72.5","75.9",,,,,"79.9",,
"Keuchel, Dallas","L","72.4","82.7","42.6","90.9",,,"33.9",,
"Castellanos, Humberto","R","72.3","77.1","41.3","94.3",,"74",,,
"García, Luis","R","72.1","86.8",,,"82",,"47.4","57.3",
"Lynn, Lance","R","72.1","67.9","32.6","77.2",,"46.9","26.4",,
"Pallante, Andre","R","72","84.8",,,,"90.9","39.7",,
"Muller, Kyle","L","71.9",,,"82.3",,"70.8","10.4",,
"Festa, Matt","R","71.5",,,,,,,"47.2",
"Oviedo, Johan","R","71.5",,,"94.1",,"63.3","41.2",,
"Hollowell, Gavin","R","71.4","81.8",,,,,,"57.4",
"López, Pablo","R","71.2","76.7","34.9","87.2",,"74.9",,,
"Selman, Sam","L","71",,,,,,"47.8",,
"Edwards Jr., Carl","R","70.6",,,"85.8",,"81.5",,,
"Stroman, Marcus","R","70.2","58.7","25.1",,"75.9",,"30.9",,"60.3"
"Schreiber, John","R","70.1","78.1",,"85.4",,,,"64.2",
"Barlow, Scott","R","70",,,,,"84.8","48.8",,
"Givens, Mychal","R","69.2",,,"52.1",,,"33.6",,
"Clase, Emmanuel","R","69",,"59.4",,,,"34.2",,
"Thompson, Zach","R","68.9","73.4","29","72.1",,"78.8",,,
"Hernández, Darwinzon","L","68.6",,,,,"87.5","33.1",,
"Reed, Jake","R","68.5","91.9",,,,,"35.7",,
"Naile, James","R","68","76.7","38.1",,,"58.3",,,
"O'Day, Darren","R","67.5","71.1",,,,,"32.7",,
"González, Chi Chi","R","67.4","65.2",,"84.1",,"36.6","31.7",,
"Schmidt, Clarke","R","67.4","68.5",,"52.9",,"69.9",,"36.9",
"Jones, Damon","L","66.9",,,,,,"53.8",,
"Cimber, Adam","R","66.7","71.4",,,,,"30.7",,
"Suter, Brent","L","66.7","84.4",,"93.7",,,"43.1",,
"Valdez, Framber","L","66.4","73",,"79.4",,"82.1","38.7",,
"Musgrove, Joe","R","66.4","64.9","47.4","66.8",,"74.3","54.7",,
"Maton, Phil","R","65.8","77.2",,,,"93.8",,"61.8",
"Stratton, Chris","R","65.7","67.5",,"66.4",,"77","32.4",,
"Melancon, Mark","R","65.4","65.3","61.1",,"82.7","79.2","21.9",,
"Castro, Anthony","R","64.5","62.2",,,,,"50",,
"Fry, Paul","L","64.4",,,"68.4",,,"54.7",,
"Keller, Brad","R","64.1","72",,"70.2",,"35.4","38.7",,
"Ruiz, Norge","R","64.1",,,"64.5",,,"33.1",,
"Hudson, Dakota","R","63.2","76.4",,"96.7",,"64.4","26.9",,
"Kittredge, Andrew","R","61.5","82.4",,,,,"29.4",,
"Steele, Justin","L","60.4","64.3",,"87.6",,"68.9","55.4",,
"Miller, Tyson","R","60.1","73.1",,,,,"54.2",,
"Richards, Garrett","R","55",,,"80",,"94.9","20.3",,
"Murfee, Penn","R","43","60.2",,,,,,"71.5",
